Altium Designer Pick and Place Locations
F:\TASK\2023\9\Humidity Regulator\Project Outputs for Humidity Regulator\Pick Place\Pick Place for Humidity Regulator.txt

========================================================================================================================
File Design Information:

Date:       27/09/23
Time:       23:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment             Layer       Footprint             Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                
J10        B3B-XH-A(LF)(SN)    TopLayer    JST_B3B-XH-A(LF)(SN)  40.1000      3.6100       0        "Connector Header Through Hole 3 position 0.098 (2.50mm)"                                                                                                  
R9         10k                 TopLayer    R0603                 81.4400      33.6200      270      "10 kOhms ±1% 0.1W"                                                                                                                                        
J6         F3081B7F121006E200  TopLayer    F3081B7F121006E200    86.5925      30.5100      270      "FFC & FPC Connectors F308-1B7F1-21006-E20 #VALUE!"                                                                                                        
R14        1.27R               TopLayer    R0603                 92.5130      7.2250       0        "1.27 Ohm ±1% 0.1W"                                                                                                                                        
R10        10k                 TopLayer    R0603                 91.1600      14.2200      0        "10 kOhms ±1% 0.1W"                                                                                                                                        
Q4         FDN340P             TopLayer    SOT23                 94.3600      9.8000       0        "MOSFET SSOT-3 P-CH -20V"                                                                                                                                  
R16        100k                TopLayer    R0603                 91.7200      10.0000      270      "100 kOhms ±1% 0.1W"                                                                                                                                       
R17        100R                TopLayer    R0603                 90.5700      9.9900       90       "100 Ohm ±1% 0.1W"                                                                                                                                         
C18        100nF               BottomLayer C0603                 67.3200      2.5400       90       "100nF ± 10% 50V"                                                                                                                                          
C24        100nF               TopLayer    C0603                 81.2600      1.6900       270      "100nF ± 10% 50V"                                                                                                                                          
C26        1uF                 TopLayer    C0603                 80.1300      1.6900       270      "1uF ± 10% 16V"                                                                                                                                            
C27        1uF                 TopLayer    C0603                 87.3000      1.6700       270      "1uF ± 10% 16V"                                                                                                                                            
U3         TLV70212QDBVRQ1     TopLayer    SOT23-5               84.1200      1.8800       180      "LDO Regulator Pos 1.2V 0.3A Automotive 5-Pin SOT-23 T/R"                                                                                                  
C17        100nF               TopLayer    C0603                 90.2000      26.4400      270      "100nF ± 10% 50V"                                                                                                                                          
C15        100nF               BottomLayer C0603                 81.0300      23.0400      0        "100nF ± 10% 50V"                                                                                                                                          
R11        10k                 BottomLayer R0603                 80.9600      28.3900      0        "10 kOhms ±1% 0.1W"                                                                                                                                        
R4         10k                 BottomLayer R0603                 80.9500      19.7600      0        "10 kOhms ±1% 0.1W"                                                                                                                                        
J5         DM3AT-SF-PEJM5      BottomLayer HIROSE_DM3AT-SF-PEJM5 90.8600      22.5802      270      "CONN MICRO SD CARD PUSH-PUSH R/A"                                                                                                                         
D3         ESD9B3.3ST5G        BottomLayer SOD1006X40N_BI        81.2900      26.3500      180      "11.5V Clamp 2A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923"                                                                                              
